step,epoch,loss_total,loss_pred,loss_sigreg,z_std,z_mean_abs,wallclock_s
950,2,0.9334284067153931,0.7186181545257568,0.21481026709079742,0.681279718875885,0.04967739060521126,534.5120830535889
975,2,0.6233248114585876,0.432297021150589,0.19102779030799866,0.6714861392974854,0.05027572438120842,548.9302830696106
1000,2,0.8091834783554077,0.6000941395759583,0.20908936858177185,0.6718671917915344,0.050743814557790756,563.3733062744141
1025,2,0.6014775633811951,0.4063878357410431,0.19508974254131317,0.7173921465873718,0.05119416117668152,577.7723350524902
1050,2,0.546868085861206,0.3369728624820709,0.20989525318145752,0.7124114036560059,0.051586393266916275,591.9043352603912
1075,2,0.7323899865150452,0.5248613357543945,0.20752865076065063,0.734731912612915,0.051928501576185226,606.0702250003815
1100,2,0.4758099913597107,0.2525379955768585,0.22327199578285217,0.7631179690361023,0.05235045775771141,620.5463020801544
1125,2,0.6203296780586243,0.40370383858680725,0.21662583947181702,0.734577476978302,0.05255741998553276,634.6429760456085
1150,2,0.5278815031051636,0.2948436141014099,0.23303785920143127,0.7052455544471741,0.05270610377192497,648.8853530883789
1175,2,0.5857076048851013,0.36592772603034973,0.2197798788547516,0.765148401260376,0.0529988594353199,663.3592250347137
1200,2,0.5434380769729614,0.3044154942035675,0.23902256786823273,0.7627001404762268,0.05324940383434296,677.9833900928497
1225,2,0.5597213506698608,0.35724911093711853,0.20247220993041992,0.7553607821464539,0.05331826210021973,692.5725271701813
1250,2,0.5737259984016418,0.3280094861984253,0.24571651220321655,0.7427825331687927,0.05343939736485481,706.6042182445526
